,Year of relase,Rating,Genre,Watchtime,Stars
210,2014,R,Comedy Drama Thriller,122,8.1
211,2020,PG,Animation Adventure Comedy,100,8.1
212,2014,Not Rated,Drama,196,8.1
213,2014,Not Rated,Comedy Drama Musical,153,8.1
214,2012,Not Rated,Comedy Drama Fantasy,125,8.1
215,2014,R,Adventure Comedy Crime,99,8.1
216,2014,R,Drama Mystery Thriller,149,8.1
217,2012,PG,Animation Drama Fantasy,117,8.1
218,2016,R,Biography Drama History,139,8.1
219,I 2015,PG,Animation Adventure Comedy,95,8.1
220,2012,Not Rated,Comedy Drama Romance,151,8.1
221,2013,R,Biography Drama History,134,8.1
222,I 2013,R,Action Biography Drama,123,8.1
223,2019,PG-13,Action Biography Drama,152,8.1
224,I 2015,R,Biography Crime Drama,129,8.1
225,2014,PG,Animation Adventure Drama,93,8.1
226,2012,Not Rated,Mystery Thriller,122,8.1
227,2013,R,Crime Drama Mystery,153,8.1
228,2015,R,Action Adventure Sci-Fi,120,8.1
229,2011,PG-13,Action Drama Sport,140,8.1
230,2008,Not Rated,Action Crime Drama,104,8.1
231,2021,R,Action Adventure Fantasy,242,8.1
232,2008,R,Drama,116,8.1
233,2011,PG-13,Adventure Drama Fantasy,130,8.1
234,2008,PG-13,Drama Music,130,8.1
