,Name of movie,Description,Genre,Metascore
926,The Skin I Live In,"A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession.",Drama Horror Thriller,70
927,Zombieland,"A shy student trying to reach his family in Ohio, a gun-toting bruiser in search of the last Twinkie and a pair of sisters striving to get to an amusement park join forces in a trek across a zombie-filled America.",Adventure Comedy Fantasy,73
929,Sherlock Holmes,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,Action Adventure Mystery,57
930,The Blind Side,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.",Biography Drama Sport,53
931,The Visitor,A college professor travels to New York City to attend a conference and finds a young couple living in his apartment.,Drama,79
932,Seven Pounds,A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.,Drama,36
933,Eastern Promises,A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.,Action Crime Drama,82
935,Stardust,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",Adventure Family Fantasy,66
936,The Secret of Kells,"A young boy in a remote medieval outpost under siege from barbarian raids is beckoned to adventure when a celebrated master illuminator arrives with an ancient book, brimming with secret wisdom and powers.",Animation Adventure Family,81
937,Inside Man,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.",Crime Drama Mystery,76
938,Gone Baby Gone,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally.",Crime Drama Mystery,72
939,La Vie En Rose,"Biopic of the iconic French singer Édith Piaf. Raised by her grandmother in a brothel, she was discovered while singing on a street corner at the age of 19. Despite her success, Piaf's life was filled with tragedy.",Biography Drama Music,66
940,Dead Man's Shoes,A disaffected soldier returns to his hometown to get even with the thugs who brutalized his mentally-challenged brother years ago.,Crime Drama Thriller,52
941,Harry Potter and the Half-Blood Prince,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",Action Adventure Family,78
942,300,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,Action Drama,52
943,Match Point,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law.",Drama Romance Thriller,72
944,Watchmen,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",Action Drama Mystery,56
945,Saw,"Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer.",Horror Mystery Thriller,46
946,Mysterious Skin,"A teenage hustler and a young man obsessed with alien abductions cross paths, together discovering a horrible, liberating truth.",Drama,73
947,A Very Long Engagement,"Tells the story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One.",Drama Mystery Romance,76
948,The Station Agent,"When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss.",Comedy Drama,81
949,21 Grams,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con.",Crime Drama Thriller,70
950,Sympathy for Mr. Vengeance,"A recently laid off factory worker kidnaps his former boss' friend's daughter, hoping to use the ransom money to pay for his sister's kidney transplant.",Crime Drama Thriller,56
951,25th Hour,"Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term.",Drama,68
952,The Butterfly Effect,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.",Drama Sci-Fi Thriller,30
953,I Am Sam,A mentally handicapped man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family.,Drama,28
954,Battle Royale,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.",Action Adventure Drama,81
955,The Royal Tenenbaums,The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.,Comedy Drama,76
956,Y Tu Mamá También,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other.",Drama,88
957,Harry Potter and the Sorcerer's Stone,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",Adventure Family Fantasy,64
958,The Others,A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.,Horror Mystery Thriller,74
959,Minority Report,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.",Action Crime Mystery,80
960,American Psycho,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",Comedy Crime Drama,64
961,The Thin Red Line,"Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War.",Drama History War,78
962,Mulan,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.",Animation Adventure Drama,71
963,Fear and Loathing in Las Vegas,An oddball journalist and his psychopathic lawyer travel to Las Vegas for a series of psychedelic escapades.,Adventure Comedy Drama,41
964,Dark City,"A man struggles with memories of his past, which include a wife he cannot remember and a nightmarish world no one else ever seems to wake up from.",Fantasy Mystery Sci-Fi,66
965,Lost Highway,"Anonymous videotapes presage a musician's murder conviction, and a gangster's girlfriend leads a mechanic astray.",Mystery Thriller,52
966,Die Hard with a Vengeance,"John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building.",Action Adventure Thriller,58
967,The Bridges of Madison County,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,Drama Romance,69
968,Apollo 13,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,Adventure Drama History,77
969,Three Colors: White,"After his wife divorces him, a Polish immigrant plots to get even with her.",Comedy Drama Romance,88
970,Dazed and Confused,The adventures of high school and junior high students on the last day of school in May 1976.,Comedy,78
971,My Cousin Vinny,"Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience.",Comedy Crime,68
972,Only Yesterday,A twenty-seven-year-old office worker travels to the countryside while reminiscing about her childhood in Tokyo.,Animation Drama Romance,90
973,Delicatessen,Post-apocalyptic surrealist black comedy about the landlord of an apartment building who occasionally prepares a delicacy for his odd tenants.,Comedy Crime,66
974,Home Alone,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.,Comedy Family,63
975,The Godfather: Part III,"Follows Michael Corleone, now in his 60s, as he seeks to free his family from crime and find a suitable successor to his empire.",Crime Drama,60
976,When Harry Met Sally...,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.",Comedy Drama Romance,76
977,The Naked Gun: From the Files of Police Squad!,Incompetent police Detective Frank Drebin must foil an attempt to assassinate Queen Elizabeth II.,Comedy Crime,76
978,Withnail & I,"In 1969, two substance-abusing, unemployed actors retreat to the countryside for a holiday that proves disastrous.",Comedy Drama,84
979,Lethal Weapon,Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.,Action Crime Thriller,68
980,Blood Simple,"The owner of a seedy small-town Texas bar discovers that one of his employees is having an affair with his wife. A chaotic chain of misunderstandings, lies and mischief ensues after he devises a plot to have them murdered.",Crime Drama Thriller,83
981,Mad Max 2,"In the post-apocalyptic Australian wasteland, a cynical drifter agrees to help a small, gasoline-rich community escape a horde of bandits.",Action Adventure Sci-Fi,77
982,The Warriors,"In the near future, a charismatic leader summons the street gangs of New York City in a bid to take it over. When he is killed, The Warriors are falsely blamed and now must fight their way home while every other gang is hunting them down.",Action Crime Thriller,65
983,Lupin III: The Castle of Cagliostro,"A dashing thief, his gang of desperadoes and an intrepid policeman struggle to free a princess from an evil count's clutches, and learn the hidden secret to a fabulous treasure that she holds part of a key to.",Animation Action Adventure,72
984,The Muppet Movie,"Kermit and his newfound friends trek across America to find success in Hollywood, but a frog legs merchant is after Kermit.",Adventure Comedy Family,74
985,Escape from Alcatraz,"Alcatraz is the most secure prison of its time. It is believed that no one can ever escape from it, until three daring men make a possibly successful attempt at escaping from one of the most infamous prisons in the world.",Action Biography Crime,76
986,Watership Down,"Hoping to escape destruction by human developers and save their community, a colony of rabbits, led by Hazel and Fiver, seek out a safe place to set up a new warren.",Animation Adventure Drama,64
987,Close Encounters of the Third Kind,"Roy Neary, an electric lineman, watches how his quiet and ordinary daily life turns upside down after a close encounter with a UFO.",Drama Sci-Fi,90
988,The Long Goodbye,"Private investigator Philip Marlowe helps a friend out of a jam, but in doing so gets implicated in his wife's murder.",Comedy Crime Drama,87
989,"Duck, You Sucker!",A low-life bandit and an I.R.A. explosives expert rebel against the government and become heroes of the Mexican Revolution.,Drama War Western,77
990,Kelly's Heroes,A group of U.S. soldiers sneaks across enemy lines to get their hands on a secret stash of Nazi treasure.,Adventure Comedy War,50
991,Where Eagles Dare,"Allied agents stage a daring raid on a castle where the Nazis are holding American brigadier general George Carnaby prisoner, but that's not all that's really going on.",Action Adventure War,63
992,The Jungle Book,Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.,Animation Adventure Family,65
993,A Hard Day's Night,"Over two ""typical"" days in the life of The Beatles, the boys struggle to keep themselves and Sir Paul McCartney's mischievous grandfather in check while preparing for a live television performance.",Comedy Musical,96
994,Breakfast at Tiffany's,"A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way.",Comedy Drama Romance,76
995,Giant,Sprawling epic covering the life of a Texas cattle rancher and his family and associates.,Drama Western,84
996,From Here to Eternity,"In Hawaii in 1941, a private is cruelly punished for not boxing on his unit's team, while his captain's wife and second-in-command are falling in love.",Drama Romance War,85
998,Lifeboat,Several survivors of a torpedoed merchant ship in World War II find themselves in the same lifeboat with one of the crew members of the U-boat that sank their ship.,Drama War,78
999,The 39 Steps,"A man in London tries to help a counter-espionage Agent. But when the Agent is killed, and the man stands accused, he must go on the run to save himself and stop a spy ring which is trying to steal top secret information.",Crime Mystery Thriller,93
